global_step,loss,wall_time_unix
1934,8.93750000,1778451530.362966
1939,8.87500000,1778451605.206962
1944,8.87500000,1778451679.328084
1949,9.00000000,1778451754.770470
1954,8.87500000,1778451830.319816
1959,9.00000000,1778451905.792645
1964,9.18750000,1778451981.032816
1969,9.12500000,1778452055.664132
1974,9.00000000,1778452129.408934
1979,8.75000000,1778452204.089377
1984,9.18750000,1778452280.087598
1989,9.12500000,1778452355.088653
1994,8.87500000,1778452429.820986
1999,9.00000000,1778452505.432364
2004,9.00000000,1778452580.392892
2009,9.06250000,1778452654.906921
2014,9.18750000,1778452729.915617
2019,9.00000000,1778452805.000937
2024,9.00000000,1778452879.181727
2029,8.93750000,1778452953.613941
2034,8.87500000,1778453028.048677
2039,9.00000000,1778453102.352676
2044,9.12500000,1778453178.220420
2049,8.93750000,1778453253.683365
2054,9.06250000,1778453328.714806
2059,8.93750000,1778453403.824556
2064,9.12500000,1778453479.327720
2069,8.87500000,1778453555.572507
2074,9.12500000,1778453631.060578
2079,9.25000000,1778453706.521301
2084,9.00000000,1778453781.574393
2089,9.00000000,1778453856.518830
2094,9.00000000,1778453930.910431
2099,8.87500000,1778454004.822008
2104,8.87500000,1778454079.558818
2109,8.87500000,1778454155.278409
2114,8.93750000,1778454229.031731
2119,9.18750000,1778454304.099288
2124,9.50000000,1778454378.051724
2129,9.00000000,1778454453.476874
2134,9.12500000,1778454529.349928
2139,9.12500000,1778454604.973579
2144,8.87500000,1778454680.495924
2149,8.93750000,1778454755.438884
2154,9.00000000,1778454829.806279
2159,9.18750000,1778454905.852927
2164,9.50000000,1778454980.326375
2169,9.12500000,1778455054.481257
2174,9.06250000,1778455129.503406
2179,8.87500000,1778455204.347119
2184,9.12500000,1778455279.666574
2189,8.81250000,1778455353.511667
2194,9.12500000,1778455428.044338
2199,8.87500000,1778455503.282628
2204,9.00000000,1778455578.329861
2209,9.25000000,1778455653.769592
2214,9.18750000,1778455728.916984
2219,9.18750000,1778455806.637689
2224,8.87500000,1778455884.691737
2229,9.06250000,1778455962.947176
2234,8.87500000,1778456041.086357
2239,9.00000000,1778456119.896413
2244,9.18750000,1778456195.091200
2249,9.12500000,1778456270.147035
2254,8.93750000,1778456346.197716
2259,8.87500000,1778456421.315729
2264,9.25000000,1778456495.905878
2269,8.75000000,1778456570.994403
2274,9.00000000,1778456646.229467
2279,9.18750000,1778456720.795491
2284,8.87500000,1778456799.813508
2289,9.00000000,1778456879.329962
2294,9.00000000,1778456957.697917
2299,8.75000000,1778457035.476381
2304,9.12500000,1778457110.429055
2309,9.12500000,1778457184.997120
2314,9.06250000,1778457259.379431
2319,9.00000000,1778457333.682872
2324,9.06250000,1778457407.877950
2329,9.31250000,1778457482.653999
2334,9.12500000,1778457556.081717
2339,8.62500000,1778457630.598031
2344,9.00000000,1778457706.418280
2349,8.87500000,1778457780.589444
2354,9.00000000,1778457855.942614
2359,9.06250000,1778457931.124754
2364,8.87500000,1778458006.189044
2369,8.87500000,1778458080.972017
2374,8.93750000,1778458156.508536
2379,9.12500000,1778458230.942792
2384,9.12500000,1778458306.420331
2389,9.12500000,1778458381.342035
2394,8.93750000,1778458461.097068
2399,9.25000000,1778458540.275576
2404,9.06250000,1778458617.698153
2409,9.12500000,1778458694.907351
2414,8.93750000,1778458772.752710
2419,8.87500000,1778458847.671422
2424,9.00000000,1778458923.005311
2429,9.00000000,1778459000.954265
2434,9.25000000,1778459077.591949
2439,9.00000000,1778459152.064998
2444,9.12500000,1778459228.326291
2449,9.00000000,1778459306.217951
2454,8.81250000,1778459384.060631
2459,9.06250000,1778459460.836133
2464,9.12500000,1778459537.371910
2469,8.87500000,1778459613.074295
2474,9.25000000,1778459687.671510
2479,8.87500000,1778459763.529244
2484,8.93750000,1778459839.908661
2489,9.18750000,1778459915.512834
2494,9.12500000,1778459991.219331
2499,8.87500000,1778460068.465206
2504,8.75000000,1778460147.018965
2509,8.75000000,1778460224.747619
2514,9.00000000,1778460303.494239
2519,9.18750000,1778460381.981632
2524,9.00000000,1778460459.870656
2529,9.00000000,1778460534.763809
2534,8.87500000,1778460611.917602
2539,8.87500000,1778460689.479691
2544,9.00000000,1778460765.678992
2549,8.87500000,1778460841.793687
2554,9.25000000,1778460916.763526
2559,9.06250000,1778460991.726237
2564,9.00000000,1778461067.504906
2569,9.00000000,1778461142.376260
2574,8.87500000,1778461216.572006
2579,8.93750000,1778461292.069089
2584,8.87500000,1778461369.062628
2589,9.12500000,1778461444.661746
2594,9.00000000,1778461519.954692
2599,8.75000000,1778461594.859962
2604,9.06250000,1778461671.954909
2609,9.12500000,1778461747.446813
2614,9.06250000,1778461822.518040
2619,9.18750000,1778461899.168314
2624,9.06250000,1778461975.017179
2629,9.00000000,1778462050.857594
2634,9.06250000,1778462126.436841
2639,8.87500000,1778462200.636336
2644,9.00000000,1778462275.927418
2649,9.12500000,1778462351.907638
2654,9.06250000,1778462427.395353
2659,9.25000000,1778462502.518066
2664,9.06250000,1778462577.356141
2669,9.31250000,1778462652.353281
2674,8.75000000,1778462727.644225
2679,9.00000000,1778462804.650033
2684,9.00000000,1778462879.880773
2689,8.75000000,1778462954.694772
2694,9.00000000,1778463029.445601
2699,9.12500000,1778463103.577918
2704,9.18750000,1778463180.319533
2709,8.81250000,1778463255.821195
2714,9.00000000,1778463332.378403
2719,8.87500000,1778463407.873803
2724,9.18750000,1778463482.695842
2729,9.06250000,1778463558.719922
2734,9.12500000,1778463634.145095
2739,9.12500000,1778463709.165651
2744,9.12500000,1778463784.761000
2749,9.00000000,1778463860.696459
2754,9.00000000,1778463936.877959
2759,9.12500000,1778464012.589125
2764,9.06250000,1778464088.893828
2769,9.25000000,1778464165.435587
2774,9.12500000,1778464240.834003
2779,9.06250000,1778464316.710211
2784,9.12500000,1778464392.099555
2789,9.00000000,1778464468.525176
2794,9.18750000,1778464543.748345
2799,9.18750000,1778464618.252563
2804,9.12500000,1778464694.574938
2809,9.06250000,1778464769.836310
2814,9.00000000,1778464844.154676
2819,9.12500000,1778464919.436204
2824,9.12500000,1778464994.672010
2829,9.12500000,1778465069.950972
2834,8.93750000,1778465145.308184
2839,9.06250000,1778465221.312621
2844,9.00000000,1778465296.808310
2849,9.06250000,1778465372.021493
2854,8.87500000,1778465447.325796
2859,9.06250000,1778465522.231727
2864,9.25000000,1778465595.900164
2869,9.06250000,1778465670.352728
2874,9.12500000,1778465744.360970
2879,8.93750000,1778465819.883531
2884,8.93750000,1778465897.786131
2889,8.87500000,1778465978.685466
2894,9.12500000,1778466057.933534
2899,8.87500000,1778466139.395139
2904,9.12500000,1778466213.937706
2909,9.18750000,1778466291.104758
2914,8.93750000,1778466368.182735
2919,9.00000000,1778466447.326676
2924,9.12500000,1778466525.286544
2929,9.12500000,1778466602.297177
2934,9.00000000,1778466678.179480
2939,9.00000000,1778466753.645077
2944,8.93750000,1778466828.401313
2949,8.75000000,1778466903.910679
2954,9.00000000,1778466980.559673
2959,9.00000000,1778467057.882539
2964,9.18750000,1778467132.882917
2969,9.12500000,1778467211.722888
2974,9.18750000,1778467288.804911
2979,8.93750000,1778467365.522825
2984,9.12500000,1778467442.306370
2989,9.12500000,1778467520.537372
2994,9.06250000,1778467598.441814
2999,9.00000000,1778467675.143155
3004,9.00000000,1778467751.381523
3009,9.12500000,1778467827.032222
3014,9.18750000,1778467903.430091
