timestamp,epoch,step_in_epoch,steps_per_epoch,global_step,loss
2026-05-17T09:18:41Z,0,1501,20976,1500,7.7824
2026-05-17T09:21:29Z,0,1511,20976,1510,8.2342
2026-05-17T09:23:40Z,0,1521,20976,1520,8.126
2026-05-17T09:27:45Z,0,1531,20976,1530,8.1573
2026-05-17T09:30:09Z,0,1541,20976,1540,7.6506
2026-05-17T09:33:26Z,0,1551,20976,1550,8.6221
2026-05-17T09:35:57Z,0,1561,20976,1560,8.1033
2026-05-17T09:38:09Z,0,1571,20976,1570,8.0666
2026-05-17T09:41:22Z,0,1581,20976,1580,8.7112
2026-05-17T09:44:10Z,0,1591,20976,1590,8.445
2026-05-17T09:47:35Z,0,1601,20976,1600,8.4406
2026-05-17T09:49:20Z,0,1611,20976,1610,7.8171
2026-05-17T09:52:19Z,0,1621,20976,1620,8.5761
2026-05-17T09:54:25Z,0,1631,20976,1630,8.6095
2026-05-17T09:57:38Z,0,1641,20976,1640,9.0849
2026-05-17T09:59:43Z,0,1651,20976,1650,7.7002
2026-05-17T10:02:10Z,0,1661,20976,1660,8.5006
2026-05-17T10:05:36Z,0,1671,20976,1670,8.4972
2026-05-17T10:07:54Z,0,1681,20976,1680,7.9972
2026-05-17T10:10:16Z,0,1691,20976,1690,8.5679
2026-05-17T10:14:22Z,0,1701,20976,1700,7.1574
2026-05-17T10:16:00Z,0,1711,20976,1710,7.9285
2026-05-17T10:19:11Z,0,1721,20976,1720,7.7886
2026-05-17T10:24:06Z,0,1731,20976,1730,8.6299
2026-05-17T10:26:14Z,0,1741,20976,1740,7.7156
2026-05-17T10:28:14Z,0,1751,20976,1750,8.0806
2026-05-17T10:31:19Z,0,1761,20976,1760,7.5434
2026-05-17T10:35:31Z,0,1771,20976,1770,8.8875
2026-05-17T10:38:05Z,0,1781,20976,1780,7.8063
2026-05-17T10:40:08Z,0,1791,20976,1790,8.3832
2026-05-17T10:42:52Z,0,1801,20976,1800,7.9547
2026-05-17T10:45:18Z,0,1811,20976,1810,8.1383
2026-05-17T10:47:45Z,0,1821,20976,1820,8.5339
2026-05-17T10:51:05Z,0,1831,20976,1830,7.1942
2026-05-17T10:54:41Z,0,1841,20976,1840,8.0306
2026-05-17T10:56:39Z,0,1851,20976,1850,7.7649
2026-05-17T11:00:02Z,0,1861,20976,1860,8.7276
2026-05-17T11:02:27Z,0,1871,20976,1870,8.2833
2026-05-17T11:04:34Z,0,1881,20976,1880,7.8032
2026-05-17T11:07:58Z,0,1891,20976,1890,8.6063
2026-05-17T11:10:45Z,0,1901,20976,1900,7.797
2026-05-17T11:13:59Z,0,1911,20976,1910,8.3867
2026-05-17T11:16:53Z,0,1921,20976,1920,8.539
2026-05-17T11:19:59Z,0,1931,20976,1930,8.3587
2026-05-17T11:23:11Z,0,1941,20976,1940,8.3175
2026-05-17T11:25:54Z,0,1951,20976,1950,7.5548
2026-05-17T11:28:20Z,0,1961,20976,1960,8.7612
